,Compound,Date,Negative,Neutral,Positive,Source Account,Text,Tweets Ago
97,-0.296,Sat Jun 23 16:37:02 +0000 2018,0.761,0.239,0.0,@BBCWorld,Boru: Golden eagle missing in Monaghan returns https://t.co/6iRTsOqSXE,98
98,0.34,Sat Jun 23 15:32:04 +0000 2018,0.606,0.144,0.25,@BBCWorld,Italy migrant row: Malta defiant over stranded rescue boat https://t.co/Mw4jrRT7ic,99
99,-0.7184,Sat Jun 23 14:17:31 +0000 2018,0.75,0.25,0.0,@BBCWorld,Thousands of gallons of crude oil has leaked into a US river after a train came off the tracks in Iowa… https://t.co/wRUuERvQje,100
100,0.0,Mon Jun 25 21:03:18 +0000 2018,1.0,0.0,0.0,@CBSNews,"NEW TIME: @CBSNews' politics show ""Red &amp; Blue"" streams at 5 p.m. ET on CBSN.

Watch now: https://t.co/P7G5YsDifE https://t.co/oK16SpcMw3",1
101,0.8074,Mon Jun 25 20:59:59 +0000 2018,0.57,0.0,0.43,@CBSNews,"WATCH: This ""beary"" impressive cub bravely climbed a ladder to escape a basement in Wisconsin.… https://t.co/Se5g0VfBr0",2
102,0.4939,Mon Jun 25 20:40:45 +0000 2018,0.824,0.0,0.176,@CBSNews,"World Cup players fined $10,000 for making hand gestures during Switzerland vs. Serbia game https://t.co/D8zlISNW5l https://t.co/Vfyqn82Cdy",3
103,-0.5574,Mon Jun 25 20:30:03 +0000 2018,0.795,0.205,0.0,@CBSNews,"Today marks nine years since the King of Pop died.

R.I.P. Michael Jackson. https://t.co/KlxnYWFAdP https://t.co/itnve2y6k5",4
104,-0.5574,Mon Jun 25 20:23:30 +0000 2018,0.841,0.159,0.0,@CBSNews,Saudi Arabia's ban on female drivers has officially ended and women are zooming right into a new career behind the… https://t.co/dAHt3YhkOy,5
105,0.34,Mon Jun 25 20:15:59 +0000 2018,0.882,0.0,0.118,@CBSNews,"Sanders on family separation policy: ""We consider enforcing the law the role the administration has to play. Certai… https://t.co/3xX1XjTBI7",6
106,0.3818,Mon Jun 25 20:09:12 +0000 2018,0.841,0.0,0.159,@CBSNews,"""Sure I was responding to a number of news stories. It was considered news of the day, so I responded the way I wou… https://t.co/kYD0TohFMk",7
107,-0.5859,Mon Jun 25 20:07:39 +0000 2018,0.649,0.248,0.103,@CBSNews,"""Again, the EU is trying to punish U.S. workers because they have engaged repeatedly in unfair trade practices and… https://t.co/m4olTqTGj8",8
108,0.3818,Mon Jun 25 20:04:15 +0000 2018,0.88,0.0,0.12,@CBSNews,"""Just because you don't see a judge doesn't mean you aren't receiving due process. The president is focused on secu… https://t.co/tANZVerxZ7",9
109,0.0,Mon Jun 25 20:01:05 +0000 2018,1.0,0.0,0.0,@CBSNews,"WATCH NOW: White House Press Secretary Sarah Sanders addresses removal from Virginia restaurant, says ""calls for ha… https://t.co/04rNzmQXfp",10
110,0.7845,Mon Jun 25 19:59:48 +0000 2018,0.723,0.0,0.277,@CBSNews,FIFA has fined two Switzerland players for making hand gestures of an Albanian national symbol to celebrate World C… https://t.co/AHuln2ZJ8H,11
111,-0.1531,Mon Jun 25 19:44:38 +0000 2018,0.583,0.221,0.196,@CBSNews,"In a procession on Monday that was equal parts funeral and demonstration, mourners carried signs honoring Antwon Ro… https://t.co/YhEi47U6We",12
112,0.6249,Mon Jun 25 19:29:37 +0000 2018,0.733,0.0,0.267,@CBSNews,"In a milestone for medical marijuana products, the FDA granted federal approval for a prescription epilepsy medicat… https://t.co/LPJMmexgJn",13
113,-0.7506,Mon Jun 25 19:14:54 +0000 2018,0.701,0.299,0.0,@CBSNews,Police have made arrests in connection with last week's fatal stabbing of 15-year-old Lesandro Guzman-Ortiz outside… https://t.co/rUQUr1VTRf,14
114,0.4404,Mon Jun 25 19:00:24 +0000 2018,0.868,0.0,0.132,@CBSNews,WATCH: World Cup fans for Senegal and Japan sing together after tied game -- proving good sportsmanship is stronger… https://t.co/ct13Y3Of91,15
115,-0.296,Mon Jun 25 18:44:35 +0000 2018,0.885,0.115,0.0,@CBSNews,An Arizona pharmacist refused to fill a doctor ordered prescription to end a pregnancy that would result in a still… https://t.co/ufCsuBt6wH,16
116,0.743,Mon Jun 25 18:31:01 +0000 2018,0.777,0.0,0.223,@CBSNews,"Trump on Middle East peace plan: ""A lot of progress has been made in the Middle East, a lot. It started with the en… https://t.co/CzGZNSq0is",17
117,0.6453,Mon Jun 25 18:27:51 +0000 2018,0.837,0.0,0.163,@CBSNews,"""I was very, very happy that I signed that. And it also -- it shows, you know, we're all talking about humanity,"" P… https://t.co/016AUprvHA",18
118,-0.1531,Mon Jun 25 18:25:26 +0000 2018,0.926,0.074,0.0,@CBSNews,"It's official: Toys ""R"" Us will close the last of its stores this Friday. Millennials ""R"" going to miss you… https://t.co/dLat7dIZM4",19
119,0.0,Mon Jun 25 18:23:47 +0000 2018,1.0,0.0,0.0,@CBSNews,MOMENTS AGO: Pres. Trump meets with the king and queen of Jordan in the Oval Office as the administration prepares… https://t.co/rvcGChxxC7,20
