,City Name,Cloudiness,Country Code,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
382,arman,90.0,ru,2018-06-18 14:00:00,93.0,59.7,150.17,41.0,4.47
383,fortuna,0.0,us,2018-06-18 14:00:00,33.0,38.18,-1.13,87.8,10.29
384,semme,75.0,sn,2018-06-18 14:00:00,72.0,46.2,1.5,66.2,5.82
385,pangai,8.0,to,2018-06-18 14:33:58,100.0,-19.8,-174.35,75.66,14.88
386,havelock,75.0,us,2018-06-18 13:58:00,94.0,34.88,-76.9,84.2,11.41
387,kursenai,0.0,lt,2018-06-18 13:50:00,38.0,55.98,22.92,73.4,12.75
388,zhovkva,40.0,ua,2018-06-18 14:00:00,73.0,50.06,23.97,71.6,6.71
389,hornepayne,0.0,ca,2018-06-18 14:34:07,73.0,49.22,-84.78,67.2,6.82
390,mataura,92.0,pf,2018-06-18 14:34:09,89.0,-46.19,168.86,35.07,2.91
391,kulhudhuffushi,100.0,mv,2018-06-18 14:34:12,97.0,6.62,73.07,84.03,14.99
392,bandarbeyla,0.0,so,2018-06-18 14:34:13,85.0,9.49,50.81,77.73,30.76
393,palmer,75.0,us,2018-06-18 14:00:00,66.0,-34.85,139.16,51.8,9.17
394,kruisfontein,64.0,za,2018-06-18 14:34:16,100.0,-34.0,24.73,58.29,13.2
395,mehamn,0.0,no,2018-06-18 13:50:00,87.0,71.03,27.85,48.2,16.11
396,tezu,56.0,in,2018-06-18 14:34:22,96.0,27.93,96.16,68.1,1.23
397,dikson,80.0,ru,2018-06-18 14:34:24,97.0,73.51,80.55,32.55,8.72
398,sorong,80.0,id,2018-06-18 14:34:27,100.0,-0.86,131.25,81.33,4.47
399,kahului,1.0,us,2018-06-18 13:56:00,83.0,20.89,-156.47,71.6,5.14
400,craigieburn,75.0,au,2018-06-18 14:00:00,93.0,-37.6,144.94,41.0,5.82
401,nuuk,40.0,gl,2018-06-18 13:50:00,65.0,64.17,-51.74,44.6,6.93
402,oriximina,48.0,br,2018-06-18 14:34:42,86.0,-1.77,-55.87,80.43,1.23
403,atuona,44.0,pf,2018-06-18 14:34:43,100.0,-9.8,-139.03,77.73,11.07
404,hovd,75.0,mn,2018-06-18 13:50:00,82.0,63.83,10.7,60.8,2.24
405,vestmannaeyjar,20.0,is,2018-06-18 13:00:00,71.0,63.44,-20.27,51.8,23.04
406,atasu,92.0,kz,2018-06-18 14:34:47,54.0,48.68,71.64,65.58,17.22
407,kaitangata,92.0,nz,2018-06-18 14:34:49,90.0,-46.28,169.85,39.03,6.93
408,aykhal,24.0,ru,2018-06-18 14:34:52,68.0,65.95,111.51,61.89,3.8
409,hermanus,76.0,za,2018-06-18 14:34:53,100.0,-34.42,19.24,52.71,6.6
410,labuhan,0.0,id,2018-06-18 14:34:54,91.0,-2.54,115.51,73.5,2.35
411,khatanga,8.0,ru,2018-06-18 14:34:58,63.0,71.98,102.47,52.44,13.09
412,naryan-mar,0.0,ru,2018-06-18 14:35:01,50.0,67.67,53.09,51.81,12.75
413,simpang,75.0,id,2018-06-18 14:00:00,94.0,4.82,100.71,80.6,3.58
414,yerbogachen,0.0,ru,2018-06-18 14:35:04,78.0,61.28,108.01,62.34,3.02
415,victoria,75.0,sc,2018-06-18 14:00:00,89.0,5.28,115.24,86.0,2.24
416,jamestown,12.0,sh,2018-06-18 14:32:04,72.0,-33.21,138.6,25.98,3.02
417,flinders,75.0,au,2018-06-18 14:00:00,71.0,-34.58,150.85,50.0,16.11
418,vaini,92.0,to,2018-06-18 14:35:24,99.0,15.34,74.49,68.91,6.6
419,altay,92.0,cn,2018-06-18 14:35:26,99.0,47.83,88.13,50.64,2.35
420,niigata,20.0,jp,2018-06-18 14:35:28,83.0,37.91,139.04,62.61,3.36
421,romny,0.0,ru,2018-06-18 14:35:34,49.0,50.74,33.49,79.71,7.83
422,bluff,0.0,nz,2018-06-18 14:35:36,75.0,-23.58,149.07,40.65,6.71
423,busselton,76.0,au,2018-06-18 14:34:24,100.0,-33.64,115.35,58.65,15.21
424,tucano,36.0,br,2018-06-18 14:35:47,72.0,-10.96,-38.79,78.72,13.87
425,poum,75.0,nc,2018-06-18 14:00:00,50.0,41.28,20.71,77.0,3.36
426,price,40.0,us,2018-06-18 13:53:00,41.0,39.6,-110.81,60.8,3.36
427,namatanai,8.0,pg,2018-06-18 14:35:57,100.0,-3.66,152.44,81.96,5.7
428,jumla,48.0,np,2018-06-18 14:36:04,92.0,29.28,82.18,37.68,2.57
429,pella,1.0,us,2018-06-18 14:15:00,66.0,41.41,-92.92,84.2,8.05
430,castro,92.0,cl,2018-06-18 14:36:13,100.0,-42.48,-73.76,48.66,3.47
431,chapais,90.0,ca,2018-06-18 14:32:00,93.0,49.78,-74.86,64.4,8.05
432,maltahohe,0.0,na,2018-06-18 14:36:28,13.0,-24.83,16.98,73.41,13.53
433,nikolskoye,40.0,ru,2018-06-18 14:00:00,39.0,59.7,30.79,80.6,6.71
434,sarkand,68.0,kz,2018-06-18 14:36:35,41.0,45.41,79.91,73.86,6.71
435,tuatapere,76.0,nz,2018-06-18 14:36:37,100.0,-46.13,167.69,42.72,6.82
436,gorontalo,36.0,id,2018-06-18 14:36:40,86.0,0.54,123.06,77.19,3.13
437,zhigansk,20.0,ru,2018-06-18 14:36:43,60.0,66.77,123.37,55.95,4.36
438,cabedelo,75.0,br,2018-06-18 13:00:00,83.0,-6.97,-34.84,77.0,8.05
439,sinnamary,68.0,gf,2018-06-18 14:36:48,91.0,5.38,-52.96,82.59,9.17
440,lyuban,88.0,ru,2018-06-18 14:36:52,66.0,52.8,28.0,77.01,5.93
441,rafaela,0.0,ar,2018-06-18 14:36:54,65.0,-31.25,-61.49,56.76,9.95
442,kaabong,48.0,ug,2018-06-18 14:36:56,84.0,3.51,34.14,70.53,0.56
443,khasan,92.0,ru,2018-06-18 14:36:57,97.0,42.43,130.64,58.83,4.14
444,caucasia,56.0,co,2018-06-18 14:36:59,92.0,7.98,-75.2,81.06,3.02
445,gejiu,56.0,cn,2018-06-18 14:37:00,95.0,23.36,103.16,67.38,2.13
446,kaiu,0.0,ee,2018-06-18 13:50:00,45.0,59.01,25.06,66.2,17.22
447,merritt,1.0,ca,2018-06-18 14:00:00,81.0,50.11,-120.79,53.6,2.68
448,college,75.0,us,2018-06-18 13:53:00,71.0,64.86,-147.8,51.8,6.93
449,burnie,0.0,au,2018-06-18 14:37:05,100.0,-41.05,145.91,52.08,8.61
450,waraseoni,36.0,in,2018-06-18 14:37:07,93.0,21.76,80.05,78.45,4.47
451,dumas,8.0,us,2018-06-18 14:36:04,98.0,21.09,72.71,85.56,18.45
452,muroto,92.0,jp,2018-06-18 14:37:12,100.0,33.37,134.14,69.36,4.59
453,arkhangelsk,20.0,ru,2018-06-18 14:00:00,29.0,64.54,40.54,78.8,6.71
454,erenhot,0.0,cn,2018-06-18 14:37:15,38.0,43.65,111.97,62.52,10.51
455,qandala,64.0,so,2018-06-18 14:37:18,55.0,11.47,49.87,88.98,2.68
456,kutum,100.0,sd,2018-06-18 14:37:20,21.0,14.2,24.66,92.94,6.6
457,carnarvon,12.0,au,2018-06-18 14:37:27,65.0,-30.97,22.13,54.42,14.54
458,muisne,48.0,ec,2018-06-18 14:37:29,81.0,0.61,-80.02,79.08,5.37
459,gerash,20.0,ir,2018-06-18 14:00:00,21.0,27.67,54.14,104.0,13.87
460,turan,80.0,ru,2018-06-18 14:37:35,61.0,52.15,93.92,60.99,1.9
461,cherskiy,0.0,ru,2018-06-18 14:37:38,70.0,68.75,161.3,39.21,6.93
462,pondicherry,40.0,in,2018-06-18 14:00:00,77.0,-34.04,18.35,60.8,19.46
463,katsuura,92.0,jp,2018-06-18 14:37:42,88.0,33.93,134.5,69.27,2.13
464,nador,75.0,ma,2018-06-18 14:00:00,73.0,35.17,-2.93,77.0,9.17
465,lunenburg,1.0,ca,2018-06-18 13:56:00,61.0,42.59,-71.72,82.4,5.82
466,ferrol,20.0,es,2018-06-18 14:00:00,82.0,43.48,-8.23,77.0,13.87
467,coahuayana,100.0,mx,2018-06-18 14:37:56,98.0,18.62,-100.35,64.95,2.13
468,purranque,0.0,cl,2018-06-18 14:00:00,87.0,-40.91,-73.16,53.6,8.05
469,airai,12.0,pw,2018-06-18 14:37:58,87.0,-8.93,125.41,62.7,1.9
470,pilar,0.0,ph,2018-06-18 14:35:00,87.0,-34.46,-58.91,53.6,11.18
471,upig,75.0,ph,2018-06-18 14:00:00,83.0,15.02,120.99,84.2,2.24
472,chachapoyas,0.0,pe,2018-06-18 14:38:07,77.0,-6.23,-77.87,62.61,2.68
473,provideniya,0.0,ru,2018-06-18 14:38:09,100.0,64.42,-173.23,38.13,5.93
474,impfondo,76.0,cg,2018-06-18 14:38:11,98.0,1.62,18.06,74.04,3.69
475,ketchikan,1.0,us,2018-06-18 14:04:00,67.0,55.34,-131.65,62.6,10.29
476,kaeo,80.0,nz,2018-06-18 14:38:15,73.0,-35.1,173.78,56.31,11.41
477,huangpi,0.0,cn,2018-06-18 14:00:00,79.0,30.88,114.37,84.2,11.18
478,porto novo,0.0,cv,2018-06-18 13:55:00,58.0,44.53,11.75,86.0,4.92
479,chokurdakh,20.0,ru,2018-06-18 14:38:20,86.0,70.62,147.9,31.2,11.52
480,phangnga,75.0,th,2018-06-18 14:00:00,78.0,8.45,98.53,80.6,21.92
481,zaranj,0.0,af,2018-06-18 14:00:00,9.0,30.95,61.86,105.8,20.8
482,smithers,40.0,ca,2018-06-18 14:00:00,76.0,54.78,-127.17,55.4,2.46
483,buchanan,75.0,lr,2018-06-18 14:00:00,94.0,5.88,-10.05,77.0,11.41
484,qaanaaq,76.0,gl,2018-06-18 14:38:31,98.0,77.48,-69.36,32.46,3.13
485,wajima,92.0,jp,2018-06-18 14:38:33,98.0,37.4,136.9,65.58,2.57
486,hirara,80.0,jp,2018-06-18 14:35:30,96.0,24.8,125.28,83.22,21.25
487,haapiti,24.0,pf,2018-06-18 14:30:00,88.0,-17.57,-149.87,69.8,3.36
488,nishihara,75.0,jp,2018-06-18 14:00:00,100.0,35.74,139.53,68.0,13.87
489,miguelopolis,0.0,br,2018-06-18 14:38:41,61.0,-20.18,-48.03,78.0,7.72
490,constitucion,75.0,cl,2018-06-18 13:46:00,93.0,23.99,-104.67,62.6,5.82
491,kralendijk,92.0,an,2018-06-18 13:55:00,79.0,12.15,-68.27,84.2,13.87
492,nouadhibou,20.0,mr,2018-06-18 14:00:00,64.0,20.93,-17.03,73.4,20.8
493,warmbad,20.0,na,2018-06-18 14:00:00,52.0,50.67,13.08,73.4,6.93
494,egvekinot,100.0,ru,2018-06-18 14:38:52,96.0,66.32,-179.17,37.86,2.68
495,masindi,48.0,ug,2018-06-18 14:38:54,95.0,1.69,31.72,70.53,5.48
496,amapa,75.0,br,2018-06-18 14:00:00,100.0,15.09,-87.97,77.0,5.82
497,port-gentil,40.0,ga,2018-06-18 14:00:00,74.0,-0.72,8.78,82.4,13.87
498,yumen,92.0,cn,2018-06-18 14:39:04,27.0,40.29,97.04,77.73,11.63
499,lasa,40.0,cn,2018-06-18 14:00:00,69.0,34.92,32.53,80.6,16.11
500,whitehorse,75.0,ca,2018-06-18 14:00:00,66.0,60.72,-135.06,55.4,9.17
501,boyolangu,0.0,id,2018-06-18 14:39:11,82.0,-8.09,111.9,70.71,3.02
502,kangaatsiaq,8.0,gl,2018-06-18 14:39:13,91.0,68.31,-53.46,37.59,2.13
503,yulara,0.0,au,2018-06-18 14:00:00,45.0,-25.24,130.99,42.8,8.05
504,chornukhy,0.0,ua,2018-06-18 14:39:15,56.0,50.27,32.94,79.08,8.16
505,biggar,40.0,ca,2018-06-18 13:50:00,55.0,55.62,-3.52,62.6,24.16
506,severo-kurilsk,32.0,ru,2018-06-18 14:39:18,100.0,50.68,156.12,34.17,5.7
507,novikovo,64.0,ru,2018-06-18 14:39:19,69.0,45.05,34.56,73.77,9.51
508,canakkale,40.0,tr,2018-06-18 13:57:00,69.0,40.15,26.41,75.2,13.87
509,weligama,80.0,lk,2018-06-18 14:39:21,90.0,5.97,80.42,80.7,11.74
510,zhuhai,20.0,cn,2018-06-18 14:00:00,22.0,40.71,112.04,75.2,6.71
511,faya,5.0,td,2018-06-18 14:00:00,11.0,18.39,42.45,87.8,16.11
512,boende,68.0,cd,2018-06-18 14:39:25,93.0,-0.28,20.88,74.31,2.35
513,lima,0.0,pe,2018-06-18 14:39:28,77.0,-12.06,-77.04,65.85,1.57
514,karur,36.0,in,2018-06-18 14:35:19,54.0,10.96,78.08,83.94,18.45
515,vredendal,24.0,za,2018-06-18 14:39:31,94.0,-31.68,18.49,57.3,4.81
516,hami,92.0,cn,2018-06-18 14:39:33,22.0,42.84,93.51,87.63,11.3
517,kattivakkam,40.0,in,2018-06-18 14:00:00,59.0,13.22,80.32,91.4,12.75
518,yafran,0.0,ly,2018-06-18 14:39:36,35.0,32.06,12.53,82.5,12.08
519,okhotsk,80.0,ru,2018-06-18 14:39:39,100.0,59.36,143.24,38.49,3.02
520,shaoguan,64.0,cn,2018-06-18 14:39:41,89.0,24.81,113.59,76.56,2.68
521,ngunguru,64.0,nz,2018-06-18 14:39:46,95.0,-35.62,174.5,60.81,18.68
522,waingapu,0.0,id,2018-06-18 14:39:47,79.0,-9.65,120.26,75.66,11.97
523,leningradskiy,56.0,ru,2018-06-18 14:39:48,95.0,69.38,178.42,29.31,4.59
524,palanga,48.0,lt,2018-06-18 14:39:49,89.0,44.45,25.08,73.59,4.81
525,itaituba,90.0,br,2018-06-18 13:00:00,100.0,-4.26,-55.99,73.4,2.91
526,yagodnoye,80.0,ru,2018-06-18 14:39:53,82.0,62.52,149.63,50.91,1.9
527,charlottetown,90.0,ca,2018-06-18 14:00:00,82.0,46.23,-63.13,55.4,19.46
528,teguldet,20.0,ru,2018-06-18 14:39:57,45.0,57.31,88.17,73.32,8.84
529,vaitape,56.0,pf,2018-06-18 14:39:59,100.0,-16.52,-151.75,77.19,4.7
530,khani,75.0,ru,2018-06-18 14:00:00,78.0,41.96,42.96,71.6,6.93
531,zhigalovo,0.0,ru,2018-06-18 14:40:03,87.0,54.81,105.15,55.5,2.01
532,boston,75.0,gb,2018-06-18 13:56:00,54.0,42.36,-71.06,82.4,14.99
533,panzhihua,44.0,cn,2018-06-18 14:40:06,89.0,26.59,101.72,68.55,1.57
534,pidhorodna,8.0,ua,2018-06-18 14:40:08,45.0,48.11,30.89,81.42,10.18
535,esperance,75.0,au,2018-06-18 14:00:00,66.0,10.24,-61.45,87.8,8.05
536,slantsy,64.0,ru,2018-06-18 14:40:11,66.0,59.12,28.09,71.16,7.61
537,gunnedah,90.0,au,2018-06-18 14:00:00,65.0,-30.98,150.25,46.4,4.7
538,chibombo,0.0,zm,2018-06-18 14:40:13,31.0,-14.68,28.09,75.66,11.41
539,borogontsy,56.0,ru,2018-06-18 14:40:14,99.0,62.67,131.17,54.33,2.46
540,xinyang,92.0,cn,2018-06-18 14:40:16,72.0,32.13,114.07,77.19,10.74
541,pervomayskiy,20.0,ru,2018-06-18 14:40:17,35.0,53.24,40.29,80.97,5.37
542,gao,0.0,ml,2018-06-18 14:40:19,16.0,16.28,-0.04,109.32,4.47
543,westport,90.0,ie,2018-06-18 14:00:00,93.0,53.8,-9.52,53.6,14.99
544,grand-santi,24.0,gf,2018-06-18 14:40:23,82.0,4.27,-54.38,80.97,3.02
545,noumea,100.0,nc,2018-06-18 14:40:26,100.0,-22.28,166.46,64.86,9.51
